"","x"
"1","3.952"
"2","3.9515"
"3","3.955"
"4","3.9535"
"5","3.9525"
"6","3.978"
"7","3.8545"
"8","3.9785"
"9","3.951"
"10","3.982"
"11","3.953"
"12","3.8555"
"13","3.954"
"14","3.991"
"15","3.9"
"16","3.9615"
"17","3.9455"
"18","3.9505"
"19","3.9825"
"20","3.855"
"21","3.9895"
"22","3.9915"
"23","3.8865"
"24","3.965"
"25","3.966"
"26","3.9905"
"27","3.9545"
"28","3.9405"
"29","3.935"
"30","3.9655"
"31","3.983"
"32","3.8535"
"33","3.969"
"34","3.884"
"35","3.922"
"36","3.946"
"37","3.8645"
"38","3.94"
"39","3.941"
"40","3.9695"
"41","3.898"
"42","3.8985"
"43","3.854"
"44","3.9555"
"45","3.99"
"46","3.886"
"47","3.9705"
"48","3.9715"
"49","3.956"
"50","3.995"
"51","3.9225"
"52","3.971"
"53","3.972"
"54","3.961"
"55","3.9235"
"56","3.864"
"57","3.9685"
"58","3.957"
"59","3.959"
"60","3.883"
"61","3.8825"
"62","3.9575"
"63","3.9945"
"64","3.9725"
"65","3.8755"
"66","3.9815"
"67","3.9355"
"68","3.856"
"69","3.97"
"70","3.911"
"71","3.9775"
"72","3.95"
"73","3.9345"
"74","3.979"
"75","3.958"
"76","3.9565"
"77","3.927"
"78","3.8835"
"79","3.876"
"80","3.8995"
"81","3.9585"
"82","3.994"
"83","3.98"
"84","3.9215"
"85","3.8855"
"86","3.887"
"87","3.968"
"88","3.8905"
"89","3.851"
"90","3.9795"
"91","3.9755"
"92","3.902"
"93","3.9465"
"94","3.86"
"95","3.875"
"96","3.9595"
"97","3.899"
"98","3.8935"
"99","3.9005"
"100","3.858"
"101","3.888"
"102","3.891"
"103","3.9835"
"104","3.8635"
"105","3.91"
"106","3.977"
"107","3.9675"
"108","3.981"
"109","3.924"
"110","3.8625"
"111","3.974"
"112","3.8945"
"113","3.962"
"114","3.973"
"115","3.9105"
"116","3.882"
"117","3.8875"
"118","3.9015"
"119","3.9265"
"120","3.976"
"121","3.8735"
"122","3.9735"
"123","3.9245"
"124","3.8615"
"125","3.9765"
"126","3.901"
"127","3.9275"
"128","3.9645"
"129","3.925"
"130","3.967"
"131","3.921"
"132","3.963"
"133","3.928"
"134","3.9625"
"135","3.9155"
"136","3.989"
"137","3.8575"
"138","3.923"
"139","3.862"
"140","3.9255"
"141","3.926"
"142","3.975"
"143","3.936"
"144","3.894"
"145","3.9025"
"146","3.934"
"147","3.9415"
"148","3.8705"
"149","3.892"
"150","3.8845"
"151","3.9805"
"152","3.9975"
"153","3.9955"
"154","3.895"
"155","3.8585"
"156","3.997"
"157","3.869"
"158","3.9395"
"159","3.9095"
"160","3.8915"
"161","3.9745"
"162","3.8685"
"163","3.945"
"164","3.9665"
"165","3.8925"
"166","3.9495"
"167","3.915"
"168","3.9865"
"169","3.9475"
"170","3.865"
"171","3.944"
"172","3.9935"
"173","3.8525"
"174","3.992"
"175","3.866"
"176","3.9075"
"177","3.853"
"178","3.8975"
"179","3.948"
"180","3.909"
"181","3.9925"
"182","3.9605"
"183","3.9285"
"184","3.93"
"185","3.863"
"186","3.996"
"187","3.9365"
"188","3.937"
"189","3.988"
"190","3.9085"
"191","3.893"
"192","3.874"
"193","3.999"
"194","3.916"
"195","3.964"
"196","3.852"
"197","3.947"
"198","3.9635"
"199","3.859"
"200","3.9445"
"201","3.8595"
"202","3.9425"
"203","3.8815"
"204","3.9985"
"205","3.9965"
"206","3.885"
"207","3.89"
"208","3.8515"
"209","3.871"
"210","3.9435"
"211","3.8745"
"212","3.9995"
"213","3.9335"
"214","3.868"
"215","3.987"
"216","3.8505"
"217","3.8655"
"218","3.9205"
"219","3.897"
"220","3.984"
"221","3.985"
"222","3.9845"
"223","3.8665"
"224","3.92"
"225","3.9855"
