"","x"
"1","3.9215"
"2","3.922"
"3","3.9535"
"4","3.9545"
"5","3.909"
"6","3.986"
"7","3.9095"
"8","3.9525"
"9","3.952"
"10","3.9895"
"11","3.9455"
"12","3.9815"
"13","3.9005"
"14","3.959"
"15","3.953"
"16","3.9555"
"17","3.887"
"18","3.989"
"19","3.9305"
"20","3.862"
"21","3.91"
"22","3.9695"
"23","3.9615"
"24","3.9295"
"25","3.962"
"26","3.9865"
"27","3.9225"
"28","3.921"
"29","3.982"
"30","3.961"
"31","3.9715"
"32","3.901"
"33","3.94"
"34","3.963"
"35","3.9625"
"36","3.988"
"37","3.9575"
"38","3.8875"
"39","3.9585"
"40","3.994"
"41","3.9205"
"42","3.96"
"43","3.911"
"44","3.954"
"45","3.916"
"46","3.983"
"47","3.995"
"48","3.9515"
"49","3.852"
"50","3.9885"
"51","3.9105"
"52","3.951"
"53","3.913"
"54","3.97"
"55","3.9405"
"56","3.875"
"57","3.976"
"58","3.935"
"59","3.978"
"60","3.914"
"61","3.8595"
"62","3.9795"
"63","3.946"
"64","3.979"
"65","3.92"
"66","3.8525"
"67","3.9025"
"68","3.9605"
"69","3.991"
"70","3.882"
"71","3.948"
"72","3.9765"
"73","3.9395"
"74","3.9125"
"75","3.9"
"76","3.969"
"77","3.965"
"78","3.9635"
"79","3.902"
"80","3.966"
"81","3.9115"
"82","3.99"
"83","3.9015"
"84","3.859"
"85","3.9775"
"86","3.925"
"87","3.996"
"88","3.9915"
"89","3.95"
"90","3.9655"
"91","3.9485"
"92","3.884"
"93","3.912"
"94","3.9345"
"95","3.865"
"96","3.93"
"97","3.941"
"98","3.98"
"99","3.8725"
"100","3.977"
"101","3.9835"
"102","3.9365"
"103","3.972"
"104","3.957"
"105","3.932"
"106","3.8555"
"107","3.9845"
"108","3.869"
"109","3.9145"
"110","3.8845"
"111","3.883"
"112","3.9705"
"113","3.8715"
"114","3.8855"
"115","3.8865"
"116","3.866"
"117","3.9825"
"118","3.9315"
"119","3.9505"
"120","3.971"
"121","3.9155"
"122","3.9665"
"123","3.9875"
"124","3.87"
"125","3.9645"
"126","3.9955"
"127","3.9595"
"128","3.985"
"129","3.9465"
"130","3.949"
"131","3.9265"
"132","3.9565"
"133","3.8835"
"134","3.885"
"135","3.864"
"136","3.8615"
"137","3.9355"
"138","3.871"
"139","3.8625"
"140","3.8755"
"141","3.9935"
"142","3.891"
"143","3.8745"
"144","3.9335"
"145","3.936"
"146","3.947"
"147","3.958"
"148","3.8635"
"149","3.9755"
"150","3.9945"
"151","3.9855"
"152","3.9725"
"153","3.868"
"154","3.8545"
"155","3.928"
"156","3.931"
"157","3.853"
"158","3.8765"
"159","3.851"
"160","3.8655"
"161","3.9985"
"162","3.89"
"163","3.886"
"164","3.894"
"165","3.872"
"166","3.956"
"167","3.8825"
"168","3.899"
"169","3.8515"
"170","3.8995"
"171","3.9135"
"172","3.968"
"173","3.934"
"174","3.923"
"175","3.855"
"176","3.915"
"177","3.9965"
"178","3.992"
"179","3.898"
"180","3.9675"
"181","3.9445"
"182","3.8645"
"183","3.9805"
"184","3.8915"
"185","3.8695"
"186","3.9475"
"187","3.939"
"188","3.8705"
"189","3.927"
"190","3.997"
"191","3.8895"
"192","3.9065"
"193","3.967"
"194","3.9905"
"195","3.8935"
"196","3.981"
"197","3.86"
"198","3.987"
"199","3.876"
"200","3.881"
"201","3.9385"
"202","3.874"
"203","3.9685"
"204","3.955"
"205","3.9785"
"206","3.973"
"207","3.926"
"208","3.8565"
"209","3.9495"
"210","3.8985"
"211","3.998"
"212","3.933"
"213","3.9975"
"214","3.9925"
"215","3.999"
"216","3.9995"
"217","3.8605"
"218","3.906"
"219","3.9325"
"220","3.856"
"221","3.8505"
"222","3.903"
"223","3.945"
"224","3.9255"
"225","3.8685"
"226","3.929"
"227","3.9285"
"228","3.984"
"229","3.974"
"230","3.8815"
"231","3.942"
"232","3.893"
"233","3.854"
"234","3.944"
"235","3.938"
"236","3.8925"
"237","3.8735"
"238","3.8905"
"239","3.9085"
"240","3.892"
"241","3.8945"
"242","3.9435"
"243","3.964"
"244","3.907"
"245","3.877"
"246","3.9745"
"247","3.8785"
"248","3.858"
"249","3.8675"
"250","3.9055"
"251","3.937"
"252","3.9185"
"253","3.975"
"254","3.889"
"255","3.8955"
"256","3.879"
"257","3.88"
"258","3.993"
"259","3.8585"
"260","3.9245"
"261","3.8575"
"262","3.9425"
"263","3.8535"
"264","3.857"
"265","3.8775"
"266","3.9735"
"267","3.878"
"268","3.9035"
"269","3.888"
"270","3.9045"
"271","3.905"
"272","3.863"
"273","3.896"
"274","3.9235"
"275","3.8885"
"276","3.9275"
"277","3.9375"
"278","3.904"
"279","3.867"
"280","3.861"
"281","3.8795"
"282","3.9415"
"283","3.9175"
"284","3.9075"
"285","3.873"
